In:room_width,In:room_depth,In:transmittance,In:louver_depth,Out:AVG_DF,Out:MIN_DF,Out:MAX_DF,Out:UNIFORMITY_RATIO,Img:Perspective
5,7,0.55,0.3,1.144778,0.315065,4.416632,0.275219,room_width_5_room_depth_7_transmittance_0.55_louver_depth_0.3.png
6,7,0.55,0.3,1.175451,0.295217,4.497339,0.251152,room_width_6_room_depth_7_transmittance_0.55_louver_depth_0.3.png
7,7,0.55,0.3,1.20716,0.268864,4.509363,0.222725,room_width_7_room_depth_7_transmittance_0.55_louver_depth_0.3.png
3,3,0.65,0.3,2.486622,0.767838,5.450679,0.308788,room_width_3_room_depth_3_transmittance_0.65_louver_depth_0.3.png
4,3,0.65,0.3,2.580454,0.615385,5.393048,0.238479,room_width_4_room_depth_3_transmittance_0.65_louver_depth_0.3.png
5,3,0.65,0.3,2.67172,0.561352,5.513776,0.210109,room_width_5_room_depth_3_transmittance_0.65_louver_depth_0.3.png
6,3,0.65,0.3,2.713693,0.530416,5.48321,0.195459,room_width_6_room_depth_3_transmittance_0.65_louver_depth_0.3.png
7,3,0.65,0.3,2.760254,0.506318,5.622424,0.183432,room_width_7_room_depth_3_transmittance_0.65_louver_depth_0.3.png
3,4,0.65,0.3,1.988748,0.686577,5.320315,0.34523,room_width_3_room_depth_4_transmittance_0.65_louver_depth_0.3.png
4,4,0.65,0.3,2.095212,0.533443,5.337477,0.254601,room_width_4_room_depth_4_transmittance_0.65_louver_depth_0.3.png
5,4,0.65,0.3,2.182666,0.479008,5.445712,0.21946,room_width_5_room_depth_4_transmittance_0.65_louver_depth_0.3.png
6,4,0.65,0.3,2.222954,0.439858,5.450307,0.197871,room_width_6_room_depth_4_transmittance_0.65_louver_depth_0.3.png
7,4,0.65,0.3,2.272477,0.415997,5.476809,0.183059,room_width_7_room_depth_4_transmittance_0.65_louver_depth_0.3.png
3,5,0.65,0.3,1.65797,0.54422,5.359269,0.328245,room_width_3_room_depth_5_transmittance_0.65_louver_depth_0.3.png
4,5,0.65,0.3,1.744222,0.492167,5.321151,0.28217,room_width_4_room_depth_5_transmittance_0.65_louver_depth_0.3.png
5,5,0.65,0.3,1.831395,0.429694,5.169575,0.234627,room_width_5_room_depth_5_transmittance_0.65_louver_depth_0.3.png
6,5,0.65,0.3,1.870388,0.39605,5.415342,0.211747,room_width_6_room_depth_5_transmittance_0.65_louver_depth_0.3.png
7,5,0.65,0.3,1.918115,0.369517,5.393193,0.192646,room_width_7_room_depth_5_transmittance_0.65_louver_depth_0.3.png
3,6,0.65,0.3,1.406769,0.345318,5.351164,0.245469,room_width_3_room_depth_6_transmittance_0.65_louver_depth_0.3.png
4,6,0.65,0.3,1.499553,0.461335,5.308898,0.307648,room_width_4_room_depth_6_transmittance_0.65_louver_depth_0.3.png
5,6,0.65,0.3,1.571138,0.413669,5.312496,0.263292,room_width_5_room_depth_6_transmittance_0.65_louver_depth_0.3.png
6,6,0.65,0.3,1.613518,0.373228,5.309104,0.231313,room_width_6_room_depth_6_transmittance_0.65_louver_depth_0.3.png
7,6,0.65,0.3,1.659187,0.344334,5.518248,0.207532,room_width_7_room_depth_6_transmittance_0.65_louver_depth_0.3.png
3,7,0.65,0.3,1.229585,0.25677,5.461199,0.208827,room_width_3_room_depth_7_transmittance_0.65_louver_depth_0.3.png
4,7,0.65,0.3,1.305534,0.327761,5.303804,0.251055,room_width_4_room_depth_7_transmittance_0.65_louver_depth_0.3.png
5,7,0.65,0.3,1.375575,0.387172,5.240048,0.281462,room_width_5_room_depth_7_transmittance_0.65_louver_depth_0.3.png
6,7,0.65,0.3,1.416814,0.365482,5.329784,0.257961,room_width_6_room_depth_7_transmittance_0.65_louver_depth_0.3.png
7,7,0.65,0.3,1.454292,0.32841,5.391607,0.225821,room_width_7_room_depth_7_transmittance_0.65_louver_depth_0.3.png
3,3,0.75,0.3,2.911477,0.861835,6.424215,0.296013,room_width_3_room_depth_3_transmittance_0.75_louver_depth_0.3.png
4,3,0.75,0.3,3.018892,0.725008,6.479084,0.240157,room_width_4_room_depth_3_transmittance_0.75_louver_depth_0.3.png
5,3,0.75,0.3,3.140226,0.655406,6.401992,0.208713,room_width_5_room_depth_3_transmittance_0.75_louver_depth_0.3.png
6,3,0.75,0.3,3.18206,0.627379,6.490146,0.197161,room_width_6_room_depth_3_transmittance_0.75_louver_depth_0.3.png
7,3,0.75,0.3,3.254211,0.600302,6.600582,0.184469,room_width_7_room_depth_3_transmittance_0.75_louver_depth_0.3.png
3,4,0.75,0.3,2.33894,0.827142,6.318909,0.35364,room_width_3_room_depth_4_transmittance_0.75_louver_depth_0.3.png
4,4,0.75,0.3,2.462493,0.636185,6.336278,0.25835,room_width_4_room_depth_4_transmittance_0.75_louver_depth_0.3.png
5,4,0.75,0.3,2.560167,0.562623,6.437708,0.21976,room_width_5_room_depth_4_transmittance_0.75_louver_depth_0.3.png
6,4,0.75,0.3,2.609739,0.530656,6.395153,0.203337,room_width_6_room_depth_4_transmittance_0.75_louver_depth_0.3.png
7,4,0.75,0.3,2.669934,0.498912,6.475132,0.186863,room_width_7_room_depth_4_transmittance_0.75_louver_depth_0.3.png
3,5,0.75,0.3,1.948722,0.641691,6.295699,0.329288,room_width_3_room_depth_5_transmittance_0.75_louver_depth_0.3.png
4,5,0.75,0.3,2.057137,0.594715,6.329377,0.289098,room_width_4_room_depth_5_transmittance_0.75_louver_depth_0.3.png
5,5,0.75,0.3,2.149255,0.516958,6.349805,0.240529,room_width_5_room_depth_5_transmittance_0.75_louver_depth_0.3.png
6,5,0.75,0.3,2.199486,0.475725,6.341088,0.216289,room_width_6_room_depth_5_transmittance_0.75_louver_depth_0.3.png
7,5,0.75,0.3,2.252805,0.442222,6.386337,0.196298,room_width_7_room_depth_5_transmittance_0.75_louver_depth_0.3.png
3,6,0.75,0.3,1.656671,0.433781,6.357343,0.261839,room_width_3_room_depth_6_transmittance_0.75_louver_depth_0.3.png
4,6,0.75,0.3,1.757345,0.529463,6.202386,0.301286,room_width_4_room_depth_6_transmittance_0.75_louver_depth_0.3.png
5,6,0.75,0.3,1.854036,0.49563,6.285182,0.267325,room_width_5_room_depth_6_transmittance_0.75_louver_depth_0.3.png
6,6,0.75,0.3,1.893167,0.43448,6.442206,0.229499,room_width_6_room_depth_6_transmittance_0.75_louver_depth_0.3.png
7,6,0.75,0.3,1.94733,0.402166,6.32131,0.206522,room_width_7_room_depth_6_transmittance_0.75_louver_depth_0.3.png
3,7,0.75,0.3,1.436303,0.292608,6.248106,0.203723,room_width_3_room_depth_7_transmittance_0.75_louver_depth_0.3.png
4,7,0.75,0.3,1.537604,0.379672,6.250442,0.246924,room_width_4_room_depth_7_transmittance_0.75_louver_depth_0.3.png
5,7,0.75,0.3,1.621882,0.440395,6.312925,0.271534,room_width_5_room_depth_7_transmittance_0.75_louver_depth_0.3.png
6,7,0.75,0.3,1.658817,0.432593,6.265666,0.260784,room_width_6_room_depth_7_transmittance_0.75_louver_depth_0.3.png
7,7,0.75,0.3,1.70907,0.391249,6.347084,0.228925,room_width_7_room_depth_7_transmittance_0.75_louver_depth_0.3.png
3,3,0.35,0.4,0.984883,0.281081,1.914788,0.285395,room_width_3_room_depth_3_transmittance_0.35_louver_depth_0.4.png
4,3,0.35,0.4,1.027645,0.243951,2.015202,0.237388,room_width_4_room_depth_3_transmittance_0.35_louver_depth_0.4.png
5,3,0.35,0.4,1.062834,0.230194,1.966415,0.216585,room_width_5_room_depth_3_transmittance_0.35_louver_depth_0.4.png
6,3,0.35,0.4,1.070681,0.224507,2.034645,0.209686,room_width_6_room_depth_3_transmittance_0.35_louver_depth_0.4.png
7,3,0.35,0.4,1.093938,0.215095,2.031043,0.196624,room_width_7_room_depth_3_transmittance_0.35_louver_depth_0.4.png
3,4,0.35,0.4,0.81882,0.268812,1.937705,0.328292,room_width_3_room_depth_4_transmittance_0.35_louver_depth_0.4.png
4,4,0.35,0.4,0.852932,0.209296,2.005135,0.245384,room_width_4_room_depth_4_transmittance_0.35_louver_depth_0.4.png
5,4,0.35,0.4,0.88532,0.193264,1.980608,0.218298,room_width_5_room_depth_4_transmittance_0.35_louver_depth_0.4.png
6,4,0.35,0.4,0.897011,0.182875,1.977805,0.203872,room_width_6_room_depth_4_transmittance_0.35_louver_depth_0.4.png
